SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,16-02188471,04/01/2016,Garage,,Open,GARAGE CONDEMNED/ ALLEY,Vacant,true,true,7838,S,TRUMBULL,AVE,60652,1154742.32239948,1852422.35850165,18,8,70,41.75085709395412,-87.70852422839252,"(41.75085709395412, -87.70852422839252)"
Vacant/Abandoned Building,16-02189193,04/01/2016,Front,,Open,,Vacant,false,false,5114,S,THROOP,ST,60609,1168526.4862743,1870857.33130454,20,9,61,41.80115916871151,-87.6574812731524,"(41.80115916871151, -87.6574812731524)"
Vacant/Abandoned Building,16-02189358,04/01/2016,Front,,Open,,Vacant,false,false,738,W,54TH,PL,60609,1172305.33049261,1868728.2339044,20,9,61,41.7952343296718,-87.64368559417785,"(41.7952343296718, -87.64368559417785)"
Vacant/Abandoned Building,16-02189359,04/01/2016,Front,,Open,,Vacant,false,false,5041,S,ELIZABETH,ST,60609,1168844.70991796,1871348.58310534,20,9,61,41.80250034626907,-87.65630004465997,"(41.80250034626907, -87.65630004465997)"
Vacant/Abandoned Building,16-02190466,04/01/2016,Front,,Open,BACK DOOR,Vacant,false,false,9231,S,BLACKSTONE,AVE,60619,1187729.10422938,1844069.92159418,8,4,48,41.727216235943914,-87.58791060226838,"(41.727216235943914, -87.58791060226838)"
Vacant/Abandoned Building,16-02185888,04/01/2016,Rear,,Boarded,,Vacant,false,false,7219,S,CONSTANCE,AVE,60649,1189624.96243343,1857389.84010441,7,3,43,41.76372207133757,-87.58053905425176,"(41.76372207133757, -87.58053905425176)"
Vacant/Abandoned Building,16-02192236,04/01/2016,Rear,,Open,REAR ENTRY,Vacant,false,true,7900,S,WOODLAWN,AVE,60619,1185584.44843443,1852859.56641188,8,4,45,41.75138664344302,-87.59549062380876,"(41.75138664344302, -87.59549062380876)"
Vacant/Abandoned Building,16-02197650,04/01/2016,Front,,Open,FRONT,Occupied,false,false,4026,S,ARTESIAN,AVE,60632,1160687.34392506,1877882.83102173,12,9,58,41.82060355266525,-87.68603622301147,"(41.82060355266525, -87.68603622301147)"
Vacant/Abandoned Building,16-02186092,04/01/2016,Garage,,Open,,Vacant,false,false,7801,S,CHAPPEL,AVE,60649,1191223.08970667,1853650.25449596,8,4,43,41.75342180879411,-87.57480252527289,"(41.75342180879411, -87.57480252527289)"
Vacant/Abandoned Building,16-02186064,04/01/2016,Front,,Open,BACK DOOR ARE OPEN,Vacant,false,true,5408,W,ADAMS,ST,60644,1140435.595782,1898804.69928315,29,15,25,41.87841078223781,-87.75981756347875,"(41.87841078223781, -87.75981756347875)"
