Model,Classifier,Parameters,AUC-ROC,f1_score_5,f1_score_10,f1_score_20,Accuracy,Precision_5,Precision_10,Precision_20,Recall_5,Recall_10,Recall_20
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.8506565539893833,0.41998844598497986,0.4167674324869005,0.3416227078623461,0.9367333333333333,0.4846666666666667,0.3446666666666667,0.22666666666666666,0.3705402650356779,0.527013251783894,0.6931702344546381
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8543913644501248,0.41709994222992486,0.422813381700927,0.34338106003516705,0.936,0.48133333333333334,0.3496666666666667,0.22783333333333333,0.36799184505606525,0.5346585117227319,0.6967380224260958
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.8543153154096462,0.4113229347198152,0.4203950020153164,0.3521728208992715,0.9354666666666667,0.4746666666666667,0.3476666666666667,0.23366666666666666,0.36289500509684,0.5316004077471967,0.7145769622833843
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.853714103525876,0.4165222414789139,0.4212011285771866,0.3423762873649837,0.9360666666666667,0.4806666666666667,0.34833333333333333,0.22716666666666666,0.3674821610601427,0.5326197757390418,0.6946992864424058
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.8519506874280639,0.4194107452339688,0.422813381700927,0.3411203215272545,0.9347,0.484,0.3496666666666667,0.22633333333333333,0.37003058103975534,0.5346585117227319,0.6921508664627931
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8533948557073301,0.41478913922588095,0.422813381700927,0.3411203215272545,0.9352666666666667,0.4786666666666667,0.3496666666666667,0.22633333333333333,0.3659531090723751,0.5346585117227319,0.6921508664627931
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.8505570549041533,0.40727902946273825,0.4252317613865377,0.3388595830193418,0.9351666666666667,0.47,0.3516666666666667,0.22483333333333333,0.35932721712538224,0.5377166156982671,0.6875637104994903
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8535236855268287,0.4124783362218371,0.422813381700927,0.34312986686762115,0.9349333333333333,0.476,0.3496666666666667,0.22766666666666666,0.363914373088685,0.5346585117227319,0.6962283384301733
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.7630159200717768,0.36106296938186017,0.44377267230955264,0.34991208239135896,0.9342666666666667,0.4166666666666667,0.367,0.23216666666666666,0.31855249745158004,0.5611620795107034,0.7099898063200816
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8272473468546655,0.3835932986712882,0.3978234582829504,0.33735242401406684,0.9361,0.44266666666666665,0.329,0.22383333333333333,0.3384301732925586,0.5030581039755352,0.6845056065239552
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.8154619451583074,0.37550548815713464,0.38452237001209194,0.3313237879929666,0.936,0.43333333333333335,0.318,0.21983333333333333,0.3312945973496432,0.48623853211009177,0.6722731906218145
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.842219318779472,0.38937030618139806,0.4159613059250302,0.34287867370007535,0.9375,0.4493333333333333,0.344,0.2275,0.3435270132517839,0.5259938837920489,0.6957186544342507
